id,phase,week,week_end,priority,action,owner,dependencies,effort,kpi,approval_class,status,evidence_ids,confidence,implementation_risk,notes
A-001,Foundation,1,1,P1,Approve the evidence boundary and unavailable-source register,Agency admin,,3h,Gate 1 scope decision recorded,agency_admin,Ready,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-002,Foundation,1,1,P1,Confirm the approved .com.au domain and exclusion rules,Technical SEO,A-001,3h,Zero wrong-domain records,agency_admin,Ready,EV-0001,1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-003,Foundation,1,1,P2,"Reconcile discovered, fetched and normalized URL counts",Analyst,A-002,4h,One canonical inventory count,analyst,Ready,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-004,Evidence,2,2,P1,Connect and validate Google Search Console in staging,Analyst,A-001,5h,GSC availability check passes,analyst,Not started,EV-UNAVAILABLE-GSC,1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-005,Evidence,2,2,P1,Connect and validate GA4 plus conversion definitions,Analytics,A-001,6h,GA4 event dictionary approved,analyst,Not started,EV-UNAVAILABLE-GA4,1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-006,Evidence,2,2,P2,Connect SEMrush and PageSpeed or preserve truthful unavailable states,Analyst,A-001,5h,Two source readiness decisions,analyst,Not started,"EV-UNAVAILABLE-SEMRUSH, EV-UNAVAILABLE-PAGESPEED",1.0,low,Advisory only; no external system changes are executed by the studio.
A-007,Technical,3,3,P1,Validate HTTP status distribution and error-page ownership,Technical SEO,A-003,6h,Every error URL assigned a disposition,analyst,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-008,Technical,3,3,P1,Validate redirect chains and reject redirect loops,Engineering,A-007,7h,Zero redirect loops,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,high,Advisory only; no external system changes are executed by the studio.
A-009,Technical,3,3,P1,Validate canonical graph targets against approved-domain pages,Technical SEO,A-007,7h,Zero unsafe canonical targets,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,high,Advisory only; no external system changes are executed by the studio.
A-010,On-page,4,4,P1,Resolve missing or weak title tags on priority templates,SEO + Content,A-007,8h,Priority title review completed,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-011,On-page,4,4,P1,Resolve missing meta descriptions on priority templates,SEO + Content,A-010,8h,Priority meta review completed,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-012,On-page,4,4,P1,"Resolve missing, multiple or duplicated H1 patterns",SEO + Engineering,A-010,6h,Priority H1 review completed,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-013,Ecommerce,5,5,P1,"Review product template indexability, titles and canonical behavior",Technical SEO,A-009,8h,Product template QA passes,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,high,Advisory only; no external system changes are executed by the studio.
A-014,Ecommerce,5,5,P2,Review collection pagination and duplicate-route behavior,Technical SEO,A-009,7h,Pagination decisions documented,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,high,Advisory only; no external system changes are executed by the studio.
A-015,Ecommerce,5,5,P2,Create a verified fact pack before proposing Product schema,SEO + Merchandising,A-013,8h,Zero unsupported schema properties,agency_admin,Not started,EV-0001,1.0,high,Advisory only; no external system changes are executed by the studio.
A-016,Evidence,6,6,P2,Import backlink evidence before authority scoring or outreach,Off-page SEO,A-006,6h,Backlink source validated or unavailable,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-017,Evidence,6,6,P2,Import GBP or BrightLocal evidence before local recommendations,Local SEO,A-006,5h,Local fact source validated or unavailable,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-018,Evidence,6,6,P2,Validate analytics and tag implementation before CRO claims,Analytics,A-005,7h,Tracking audit decision recorded,analyst,Not started,EV-UNAVAILABLE-GA4,1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-019,Architecture,7,7,P1,Approve one accountable URL for each of 20 content intents,SEO Strategist,"A-004, A-006",8h,20 unique target decisions,analyst,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-020,Architecture,7,7,P2,Document duplicate-title and H1 clusters for consolidation review,SEO Strategist,A-019,6h,Every duplicate cluster has a decision,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,low,Advisory only; no external system changes are executed by the studio.
A-021,Architecture,7,7,P2,Freeze the URL architecture map and cannibalization ledger,Agency admin,"A-019, A-020",5h,Gate 1 architecture approval,agency_admin,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-022,Internal links,8,8,P2,Validate observed internal-link graph and orphan risk,Technical SEO,A-021,7h,Link graph reconciliation passes,analyst,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,low,Advisory only; no external system changes are executed by the studio.
A-023,Internal links,8,8,P2,Approve parent-child collection and product link candidates,SEO + UX,A-022,7h,Approved contextual link map,analyst,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-024,Internal links,8,8,P3,Review breadcrumbs and navigation labels for descriptive anchors,UX + Engineering,A-022,6h,Navigation review completed,analyst,Not started,EV-0001,1.0,low,Advisory only; no external system changes are executed by the studio.
A-025,Implementation,9,9,P1,Stage title and meta changes on representative templates,Engineering,"A-010, A-011",10h,Template metadata QA passes,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-026,Implementation,9,9,P1,Stage H1 and heading hierarchy changes,Engineering,A-012,8h,Heading accessibility QA passes,analyst,Not started,"EV-0223, EV-0226, EV-0231, EV-0235, EV-0241, EV-0258, EV-0259, EV-0261",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-027,Implementation,9,9,P2,"Run visual, mobile and structured-data regression checks",QA,"A-025, A-026",8h,Zero Critical or High regressions,agency_admin,Not started,"EV-0155, EV-0199, EV-0204, EV-0205, EV-0208, EV-0209, EV-0219, EV-0222",1.0,moderate,Advisory only; no external system changes are executed by the studio.
A-028,Content,10,10,P2,Editorially review content assets 01-03,Content Lead,A-021,9h,Three evidence-led drafts approved or revised,client_reviewer,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-029,Content,10,10,P2,Editorially review content assets 04-06,Content Lead,A-028,9h,Three additional drafts approved or revised,client_reviewer,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-030,Content,10,10,P2,"Run claim, link and similarity checks for assets 01-06",QA,"A-028, A-029",6h,Zero unsupported or cannibalizing drafts,analyst,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-031,Content,11,11,P2,Editorially review content assets 07-11,Content Lead,A-030,12h,Five drafts approved or revised,client_reviewer,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-032,Content,11,11,P2,Editorially review content assets 12-15,Content Lead,A-031,10h,Four drafts approved or revised,client_reviewer,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-033,Content,11,11,P2,"Run claim, link and similarity checks for assets 07-15",QA,"A-031, A-032",8h,Zero unsupported or cannibalizing drafts,analyst,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-034,Content,12,12,P2,Editorially review content assets 16-20,Content Lead,A-033,12h,Five drafts approved or revised,client_reviewer,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
A-035,Content,12,12,P2,"Validate accessibility, reading flow and calls to action",UX + Content,A-034,8h,Content accessibility checklist passes,analyst,Not started,"EV-0001, EV-FACT-02, EV-FACT-03, EV-0011, EV-FACT-02, EV-0006, EV-FACT-02, EV-0017, EV-FACT-02, EV-0008, EV-FACT-02, EV-0018, EV-FACT-02, EV-0081, EV-FACT-02, EV-0009, EV-FACT-02, EV-0022, EV-FACT-02, EV-FACT-03",1.0,low,Advisory only; no external system changes are executed by the studio.
