content_id,title,target_url,intent,approval_state,generation_method,evidence_ids
CONTENT-01,Sydney artisan chocolate shopping guide,https://kakawachocolates.com.au/,brand and product discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0001, EV-FACT-02, EV-FACT-03"
CONTENT-02,Chocolate gift box selection guide,https://kakawachocolates.com.au/collections/gift-boxes,gift selection,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0011, EV-FACT-02"
CONTENT-03,Chocolate bar collection guide,https://kakawachocolates.com.au/collections/chocolate-bar,collection discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0006, EV-FACT-02"
CONTENT-04,Praline and bonbon selection guide,https://kakawachocolates.com.au/collections/pralines-bonbons,collection discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0017, EV-FACT-02"
CONTENT-05,Chocolate slab buying guide,https://kakawachocolates.com.au/collections/chocolate-slab,collection discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0008, EV-FACT-02"
CONTENT-06,Single-origin chocolate collection guide,https://kakawachocolates.com.au/collections/single-origin-chocolates,product education,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0018, EV-FACT-02"
CONTENT-07,Design-your-own chocolate box guide,https://kakawachocolates.com.au/collections/design-your-own-box,custom selection,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0081, EV-FACT-02"
CONTENT-08,Confectionery collection guide,https://kakawachocolates.com.au/collections/confectionary,collection discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0009, EV-FACT-02"
CONTENT-09,Corporate chocolate enquiry guide,https://kakawachocolates.com.au/pages/corporate-chocolates,commercial enquiry,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0022, EV-FACT-02, EV-FACT-03"
CONTENT-10,Events and corporate chocolate planning guide,https://kakawachocolates.com.au/pages/events-corporates,event enquiry,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0023, EV-FACT-02, EV-FACT-03"
CONTENT-11,Wedding chocolate planning guide,https://kakawachocolates.com.au/pages/wedding-chocolates,wedding enquiry,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0033, EV-FACT-02, EV-FACT-03"
CONTENT-12,Wholesale chocolate enquiry guide,https://kakawachocolates.com.au/pages/wholesale,trade enquiry,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0034, EV-FACT-02"
CONTENT-13,Chocolate delivery planning guide,https://kakawachocolates.com.au/pages/shipping,shipping support,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0031, EV-FACT-02"
CONTENT-14,About Kakawa evidence-led page refresh,https://kakawachocolates.com.au/pages/about-us,brand education,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0020, EV-FACT-02, EV-FACT-03"
CONTENT-15,How Kakawa presents its chocolate-making process,https://kakawachocolates.com.au/pages/how-we-make-chocolate,brand education,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0024, EV-FACT-02, EV-FACT-03"
CONTENT-16,Ingredients and ethics information guide,https://kakawachocolates.com.au/pages/our-ingredients-and-ethics,trust and product education,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0026, EV-FACT-02"
CONTENT-17,Kakawa rewards information guide,https://kakawachocolates.com.au/pages/membership,membership support,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0025, EV-FACT-02"
CONTENT-18,Chocolate journal discovery hub,https://kakawachocolates.com.au/blogs/chocolates,informational discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0002, EV-FACT-02"
CONTENT-19,Christmas chocolate planning guide,https://kakawachocolates.com.au/collections/christmas,seasonal gift discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0193, EV-FACT-02"
CONTENT-20,Easter chocolate planning guide,https://kakawachocolates.com.au/collections/easter,seasonal gift discovery,withheld_pending_human_approval,evidence-bound editorial framework with GPT strategy synthesis separated from canonical facts,"EV-0194, EV-FACT-02"
