id,source_id,evidence_type,observed_value,original_url,normalized_url,captured_at,locale,scope,confidence,unavailable_reason
EV-0001,SRC-CRAWL,page_observation,"HTTP 200; title=Chocolate Shop in Sydney | Handmade Artisanal Chocolates – Kakawa Chocolates; meta=present; H1=Kakawa Chocolates Award-Winning Handmade & Artisan Chocolates, Freshly Made Everyday; internal_links=54",https://kakawachocolates.com.au/,https://kakawachocolates.com.au/,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0002,SRC-CRAWL,page_observation,"HTTP 200; title=Chocolate Insights, Gifting Ideas & Stories | Kakawa Chocolates; meta=present; H1=Blog; internal_links=48",https://kakawachocolates.com.au/blogs/chocolates,https://kakawachocolates.com.au/blogs/chocolates,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0003,SRC-CRAWL,page_observation,HTTP 200; title=Media Features & Press Coverage | Kakawa Chocolates; meta=present; H1=In The Media; internal_links=48,https://kakawachocolates.com.au/blogs/in-the-media,https://kakawachocolates.com.au/blogs/in-the-media,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0004,SRC-CRAWL,page_observation,HTTP 200; title=Your Shopping Cart – Kakawa Chocolates; meta=unavailable; H1=Shopping Cart; internal_links=37,https://kakawachocolates.com.au/cart,https://kakawachocolates.com.au/cart,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0005,SRC-CRAWL,page_observation,HTTP 200; title=Collections – Kakawa Chocolates; meta=present; H1=Collections; internal_links=38,https://kakawachocolates.com.au/collections,https://kakawachocolates.com.au/collections,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0006,SRC-CRAWL,page_observation,HTTP 200; title=Premium Chocolate Bars Australia | Gourmet Chocolate Bars – Kakawa Chocolates; meta=present; H1=Premium Handcrafted Chocolate Bars; internal_links=40,https://kakawachocolates.com.au/collections/chocolate-bar,https://kakawachocolates.com.au/collections/chocolate-bar,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0007,SRC-CRAWL,page_observation,HTTP 200; title=Chocolate CD Collection | Kakawa Chocolates; meta=present; H1=Chocolate CD; internal_links=42,https://kakawachocolates.com.au/collections/chocolate-cd,https://kakawachocolates.com.au/collections/chocolate-cd,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0008,SRC-CRAWL,page_observation,HTTP 200; title=Premium Chocolate Slabs | Handmade Chocolate Slabs By Kakawa – Kakawa Chocolates; meta=present; H1=Handcrafted Chocolate Slab; internal_links=60,https://kakawachocolates.com.au/collections/chocolate-slab,https://kakawachocolates.com.au/collections/chocolate-slab,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0009,SRC-CRAWL,page_observation,HTTP 200; title=Handcrafted Confectionary – Premium Sweets | Kakawa Chocolates; meta=present; H1=Confectionary; internal_links=58,https://kakawachocolates.com.au/collections/confectionary,https://kakawachocolates.com.au/collections/confectionary,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0010,SRC-CRAWL,page_observation,HTTP 200; title=Father's Day Chocolates | Kakawa Chocolates; meta=present; H1=Father's Day Booze Chocolates; internal_links=38,https://kakawachocolates.com.au/collections/fathers-day-booze-chocolates,https://kakawachocolates.com.au/collections/fathers-day-booze-chocolates,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0011,SRC-CRAWL,page_observation,HTTP 200; title=Chocolate Gift Boxes | Luxury Handmade Boxes Sydney | Kakawa – Kakawa Chocolates; meta=present; H1=Chocolate Gift Boxes; internal_links=59,https://kakawachocolates.com.au/collections/gift-boxes,https://kakawachocolates.com.au/collections/gift-boxes,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0012,SRC-CRAWL,page_observation,HTTP 200; title=Exclusive In-Store Chocolates | Kakawa Chocolates Sydney; meta=present; H1=In-Store Exclusives; internal_links=42,https://kakawachocolates.com.au/collections/in-store-exclusives,https://kakawachocolates.com.au/collections/in-store-exclusives,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0013,SRC-CRAWL,page_observation,HTTP 200; title=Moon Festival Chocolates | Kakawa Chocolates; meta=present; H1=Moon Festival Chocolate Mooncake; internal_links=40,https://kakawachocolates.com.au/collections/moon-festival,https://kakawachocolates.com.au/collections/moon-festival,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0014,SRC-CRAWL,page_observation,HTTP 200; title=Celebrations Chocolates & Chocolate Pack | Kakawa Chocolates; meta=present; H1=Handcrafted Chocolate Packs for Every Celebration; internal_links=42,https://kakawachocolates.com.au/collections/party-packs,https://kakawachocolates.com.au/collections/party-packs,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0015,SRC-CRAWL,page_observation,HTTP 200; title=Dark Chocolate Slab Pack | Kakawa Chocolates; meta=present; H1=Dark Chocolate Slab Pack (Online Only); internal_links=36,https://kakawachocolates.com.au/collections/party-packs/products/chocolate-slab-pack-online-only,https://kakawachocolates.com.au/collections/party-packs/products/chocolate-slab-pack-online-only,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0016,SRC-CRAWL,page_observation,HTTP 200; title=Confectionery Pack | Kakawa Chocolates; meta=present; H1=Confectionery Pack (Online Only); internal_links=36,https://kakawachocolates.com.au/collections/party-packs/products/confectionery-pack-online-only,https://kakawachocolates.com.au/collections/party-packs/products/confectionery-pack-online-only,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0017,SRC-CRAWL,page_observation,HTTP 200; title=Praline Chocolates & Bonbons | Handmade in Sydney | Kakawa – Kakawa Chocolates; meta=present; H1=Handcrafted Praline Chocolates & Bonbons; internal_links=64,https://kakawachocolates.com.au/collections/pralines-bonbons,https://kakawachocolates.com.au/collections/pralines-bonbons,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0018,SRC-CRAWL,page_observation,HTTP 200; title=Single Origin Chocolates | Handmade in Sydney – Kakawa Chocolates; meta=present; H1=Single Origin Chocolates; internal_links=44,https://kakawachocolates.com.au/collections/single-origin-chocolates,https://kakawachocolates.com.au/collections/single-origin-chocolates,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0019,SRC-CRAWL,page_observation,HTTP 200; title=Winter Chocolate Collection By Kakawa – Kakawa Chocolates; meta=present; H1=Winter Chocolate Collection; internal_links=40,https://kakawachocolates.com.au/collections/winter-chocolate-collection,https://kakawachocolates.com.au/collections/winter-chocolate-collection,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0020,SRC-CRAWL,page_observation,HTTP 200; title=About Us | Kakawa Chocolates | Premium Handmade Chocolates; meta=unavailable; H1=unavailable; internal_links=35,https://kakawachocolates.com.au/pages/about-us,https://kakawachocolates.com.au/pages/about-us,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0021,SRC-CRAWL,page_observation,HTTP 200; title=Contact Us | Kakawa Chocolates | Premium Handmade Chocolates; meta=present; H1=Contact Us; internal_links=35,https://kakawachocolates.com.au/pages/contact-us,https://kakawachocolates.com.au/pages/contact-us,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0022,SRC-CRAWL,page_observation,HTTP 200; title=Corporate Chocolate Gifts and Branded Chocolates for Events – Kakawa Chocolates; meta=present; H1=Personalised Chocolates for Corporate Events; internal_links=35,https://kakawachocolates.com.au/pages/corporate-chocolates,https://kakawachocolates.com.au/pages/corporate-chocolates,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0023,SRC-CRAWL,page_observation,HTTP 200; title=Personalised Chocolate Hampers for Events & Corporates – Kakawa Chocolates; meta=present; H1=Events & Corporates; internal_links=35,https://kakawachocolates.com.au/pages/events-corporates,https://kakawachocolates.com.au/pages/events-corporates,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0024,SRC-CRAWL,page_observation,HTTP 200; title=How We Make Chocolate – Artisanal Process & Natural Ingredients | Kakawa Chocolates; meta=present; H1=How We Make Chocolate; internal_links=35,https://kakawachocolates.com.au/pages/how-we-make-chocolate,https://kakawachocolates.com.au/pages/how-we-make-chocolate,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0025,SRC-CRAWL,page_observation,HTTP 200; title=Kakawa Rewards – Kakawa Chocolates; meta=present; H1=unavailable; internal_links=35,https://kakawachocolates.com.au/pages/membership,https://kakawachocolates.com.au/pages/membership,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0026,SRC-CRAWL,page_observation,HTTP 200; title=Our Ingredients and Ethics | Kakawa Chocolates; meta=present; H1=Our Ingredients & Ethics; internal_links=35,https://kakawachocolates.com.au/pages/our-ingredients-and-ethics,https://kakawachocolates.com.au/pages/our-ingredients-and-ethics,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0027,SRC-CRAWL,page_observation,HTTP 200; title=Past Seasonal Collections – Kakawa Chocolates; meta=present; H1=Past Seasonal Collections; internal_links=40,https://kakawachocolates.com.au/pages/past-seasonal-collections,https://kakawachocolates.com.au/pages/past-seasonal-collections,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
EV-0028,SRC-CRAWL,page_observation,HTTP 200; title=Privacy Policy – Kakawa Chocolates; meta=present; H1=Privacy Policy; internal_links=40,https://kakawachocolates.com.au/pages/privacy-policy,https://kakawachocolates.com.au/pages/privacy-policy,2026-07-15T08:40:41.197233+00:00,en-AU,approved-domain HTML response,1.0,Unavailable
